Order_ID,Order_Date,Order_Year,Order_Month,Order_Month_Name,Order_Day,Order_Day_Name,Customer_ID,Customer_Name,City,Region,Membership_Type,Product_ID,Product_Name,Category,Brand,Quantity,Unit_Price,Total_Sales,Payment_Method,Order_Status
O0102,2026-01-20,2026,1,January,20,Tuesday,C021,Aman Kumar,Delhi,North,Regular,P012,Water Bottle,Home & Kitchen,HydroLife,3,699,2097,Credit Card,Shipped
O0071,2026-01-21,2026,1,January,21,Wednesday,C020,Priya Menon,Chennai,South,Premium,P016,Atomic Habits,Books,MindReads,1,599,599,UPI,Delivered
O0120,2026-01-21,2026,1,January,21,Wednesday,C013,Rahul Das,Kolkata,East,Regular,P020,Dumbbell Set,Sports,StrongFit,1,1999,1999,Cash on Delivery,Cancelled
O0025,2026-01-22,2026,1,January,22,Thursday,C026,Fatima Noor,Srinagar,North,Regular,P008,Sneakers,Clothing,StepUp,2,2999,5998,Cash on Delivery,Cancelled
O0105,2026-01-22,2026,1,January,22,Thursday,C020,Priya Menon,Chennai,South,Premium,P016,Atomic Habits,Books,MindReads,4,599,2396,UPI,Delivered
O0115,2026-01-23,2026,1,January,23,Friday,C014,Sana Malik,Mumbai,West,New,P007,Jacket,Clothing,NorthStyle,2,2499,4998,Credit Card,Delivered
O0002,2026-01-25,2026,1,January,25,Sunday,C006,Ishita Gupta,Bengaluru,South,Premium,P003,Wireless Mouse,Electronics,TechGear,2,899,1798,Debit Card,Delivered
O0032,2026-01-25,2026,1,January,25,Sunday,C017,Dev Patel,Ahmedabad,West,Premium,P005,Power Bank,Electronics,VoltPlus,2,1199,2398,Credit Card,Shipped
O0038,2026-01-25,2026,1,January,25,Sunday,C024,Maryam Khan,Hyderabad,South,Regular,P008,Sneakers,Clothing,StepUp,1,2999,2999,Credit Card,Delivered
O0011,2026-01-26,2026,1,January,26,Monday,C022,Alina Shah,Pune,West,New,P020,Dumbbell Set,Sports,StrongFit,2,1999,3998,Net Banking,Cancelled
O0107,2026-01-26,2026,1,January,26,Monday,C021,Aman Kumar,Delhi,North,Regular,P003,Wireless Mouse,Electronics,TechGear,2,899,1798,Cash on Delivery,Delivered
O0084,2026-01-27,2026,1,January,27,Tuesday,C013,Rahul Das,Kolkata,East,Regular,P004,Smart Watch,Electronics,FitTech,3,3299,9897,Credit Card,Delivered
O0069,2026-01-27,2026,1,January,27,Tuesday,C028,Inaya Khan,Mumbai,West,Regular,P004,Smart Watch,Electronics,FitTech,4,3299,13196,Debit Card,Delivered
O0086,2026-01-28,2026,1,January,28,Wednesday,C024,Maryam Khan,Hyderabad,South,Regular,P006,Hoodie,Clothing,UrbanWear,5,1599,7995,Debit Card,Delivered
O0026,2026-01-28,2026,1,January,28,Wednesday,C015,Karan Joshi,Chandigarh,North,Regular,P005,Power Bank,Electronics,VoltPlus,2,1199,2398,UPI,Delivered
O0042,2026-01-29,2026,1,January,29,Thursday,C012,Aisha Mir,Delhi,North,Premium,P008,Sneakers,Clothing,StepUp,5,2999,14995,Net Banking,Delivered
O0064,2026-01-30,2026,1,January,30,Friday,C007,Aditya Verma,Pune,West,Regular,P009,Coffee Maker,Home & Kitchen,HomeBrew,4,3499,13996,Credit Card,Cancelled
O0088,2026-01-30,2026,1,January,30,Friday,C022,Alina Shah,Pune,West,New,P008,Sneakers,Clothing,StepUp,2,2999,5998,Debit Card,Cancelled
O0082,2026-01-30,2026,1,January,30,Friday,C014,Sana Malik,Mumbai,West,New,P013,Python Programming,Books,TechBooks,4,749,2996,Cash on Delivery,Delivered
O0054,2026-01-30,2026,1,January,30,Friday,C019,Yusuf Dar,Srinagar,North,New,P007,Jacket,Clothing,NorthStyle,3,2499,7497,Credit Card,Cancelled
O0048,2026-02-02,2026,2,February,2,Monday,C020,Priya Menon,Chennai,South,Premium,P012,Water Bottle,Home & Kitchen,HydroLife,2,699,1398,Debit Card,Cancelled
O0040,2026-02-03,2026,2,February,3,Tuesday,C008,Sara Ahmed,Hyderabad,South,Premium,P010,Electric Kettle,Home & Kitchen,KitchenPro,4,1499,5996,Cash on Delivery,Delivered
O0119,2026-02-03,2026,2,February,3,Tuesday,C015,Karan Joshi,Chandigarh,North,Regular,P019,Cricket Bat,Sports,BatPro,2,2499,4998,Debit Card,Delivered
O0012,2026-02-03,2026,2,February,3,Tuesday,C017,Dev Patel,Ahmedabad,West,Premium,P008,Sneakers,Clothing,StepUp,5,2999,14995,Credit Card,Delivered
O0098,2026-02-03,2026,2,February,3,Tuesday,C009,Arjun Nair,Kochi,South,Regular,P006,Hoodie,Clothing,UrbanWear,1,1599,1599,Credit Card,Delivered
O0023,2026-02-04,2026,2,February,4,Wednesday,C015,Karan Joshi,Chandigarh,North,Regular,P013,Python Programming,Books,TechBooks,3,749,2247,Debit Card,Delivered
O0066,2026-02-05,2026,2,February,5,Thursday,C004,Ananya Singh,Jammu,North,Regular,P001,Wireless Headphones,Electronics,SoundMax,2,1499,2998,Debit Card,Cancelled
O0058,2026-02-05,2026,2,February,5,Thursday,C029,Sameer Qureshi,Jammu,North,New,P005,Power Bank,Electronics,VoltPlus,5,1199,5995,UPI,Cancelled
O0020,2026-02-06,2026,2,February,6,Friday,C010,Mehak Bhat,Srinagar,North,Premium,P012,Water Bottle,Home & Kitchen,HydroLife,3,699,2097,Credit Card,Delivered
O0090,2026-02-07,2026,2,February,7,Saturday,C022,Alina Shah,Pune,West,New,P019,Cricket Bat,Sports,BatPro,2,2499,4998,Cash on Delivery,Shipped
O0096,2026-02-07,2026,2,February,7,Saturday,C002,Zoya Khan,Delhi,North,Regular,P013,Python Programming,Books,TechBooks,1,749,749,Net Banking,Shipped
O0093,2026-02-08,2026,2,February,8,Sunday,C012,Aisha Mir,Delhi,North,Premium,P016,Atomic Habits,Books,MindReads,3,599,1797,Debit Card,Delivered
O0075,2026-02-08,2026,2,February,8,Sunday,C027,Harsh Vardhan,Noida,North,Premium,P004,Smart Watch,Electronics,FitTech,4,3299,13196,UPI,Delivered
O0006,2026-02-09,2026,2,February,9,Monday,C003,Rohan Mehta,Mumbai,West,Premium,P018,Football,Sports,SportZone,3,799,2397,UPI,Delivered
O0039,2026-02-09,2026,2,February,9,Monday,C016,Hiba Sheikh,Srinagar,North,Premium,P020,Dumbbell Set,Sports,StrongFit,5,1999,9995,Credit Card,Delivered
O0007,2026-02-10,2026,2,February,10,Tuesday,C011,Vivaan Kapoor,Jaipur,North,New,P003,Wireless Mouse,Electronics,TechGear,3,899,2697,UPI,Delivered
O0114,2026-02-12,2026,2,February,12,Thursday,C019,Yusuf Dar,Srinagar,North,New,P011,Air Fryer,Home & Kitchen,CookSmart,5,4999,24995,Credit Card,Delivered
O0033,2026-02-13,2026,2,February,13,Friday,C010,Mehak Bhat,Srinagar,North,Premium,P008,Sneakers,Clothing,StepUp,5,2999,14995,Credit Card,Delivered
O0047,2026-02-15,2026,2,February,15,Sunday,C005,Kabir Ali,Lucknow,North,New,P004,Smart Watch,Electronics,FitTech,5,3299,16495,Credit Card,Cancelled
O0015,2026-02-16,2026,2,February,16,Monday,C027,Harsh Vardhan,Noida,North,Premium,P011,Air Fryer,Home & Kitchen,CookSmart,3,4999,14997,Credit Card,Cancelled
O0078,2026-02-17,2026,2,February,17,Tuesday,C029,Sameer Qureshi,Jammu,North,New,P004,Smart Watch,Electronics,FitTech,5,3299,16495,Cash on Delivery,Delivered
O0050,2026-02-18,2026,2,February,18,Wednesday,C020,Priya Menon,Chennai,South,Premium,P001,Wireless Headphones,Electronics,SoundMax,1,1499,1499,Credit Card,Shipped
O0116,2026-02-19,2026,2,February,19,Thursday,C025,Reyansh Jain,Kolkata,East,New,P010,Electric Kettle,Home & Kitchen,KitchenPro,1,1499,1499,Net Banking,Delivered
O0001,2026-02-19,2026,2,February,19,Thursday,C027,Harsh Vardhan,Noida,North,Premium,P019,Cricket Bat,Sports,BatPro,2,2499,4998,Credit Card,Delivered
O0024,2026-02-20,2026,2,February,20,Friday,C030,Riya Kapoor,Bengaluru,South,Premium,P001,Wireless Headphones,Electronics,SoundMax,4,1499,5996,Net Banking,Delivered
O0014,2026-02-20,2026,2,February,20,Friday,C007,Aditya Verma,Pune,West,Regular,P010,Electric Kettle,Home & Kitchen,KitchenPro,4,1499,5996,UPI,Shipped
O0117,2026-02-21,2026,2,February,21,Saturday,C019,Yusuf Dar,Srinagar,North,New,P015,Machine Learning Basics,Books,AIPress,3,999,2997,Cash on Delivery,Shipped
O0092,2026-02-21,2026,2,February,21,Saturday,C027,Harsh Vardhan,Noida,North,Premium,P006,Hoodie,Clothing,UrbanWear,2,1599,3198,Debit Card,Delivered
O0068,2026-02-22,2026,2,February,22,Sunday,C018,Manya Rao,Bengaluru,South,Regular,P010,Electric Kettle,Home & Kitchen,KitchenPro,2,1499,2998,Debit Card,Delivered
O0067,2026-02-22,2026,2,February,22,Sunday,C005,Kabir Ali,Lucknow,North,New,P017,Yoga Mat,Sports,FitLife,1,899,899,Debit Card,Delivered
O0055,2026-02-23,2026,2,February,23,Monday,C008,Sara Ahmed,Hyderabad,South,Premium,P009,Coffee Maker,Home & Kitchen,HomeBrew,4,3499,13996,Net Banking,Cancelled
O0101,2026-02-24,2026,2,February,24,Tuesday,C009,Arjun Nair,Kochi,South,Regular,P012,Water Bottle,Home & Kitchen,HydroLife,1,699,699,UPI,Delivered
O0097,2026-02-24,2026,2,February,24,Tuesday,C004,Ananya Singh,Jammu,North,Regular,P006,Hoodie,Clothing,UrbanWear,2,1599,3198,Cash on Delivery,Delivered
O0083,2026-02-24,2026,2,February,24,Tuesday,C009,Arjun Nair,Kochi,South,Regular,P013,Python Programming,Books,TechBooks,1,749,749,Debit Card,Shipped
O0063,2026-02-25,2026,2,February,25,Wednesday,C030,Riya Kapoor,Bengaluru,South,Premium,P020,Dumbbell Set,Sports,StrongFit,3,1999,5997,Credit Card,Shipped
O0095,2026-02-25,2026,2,February,25,Wednesday,C015,Karan Joshi,Chandigarh,North,Regular,P011,Air Fryer,Home & Kitchen,CookSmart,2,4999,9998,Cash on Delivery,Delivered
O0016,2026-02-25,2026,2,February,25,Wednesday,C011,Vivaan Kapoor,Jaipur,North,New,P008,Sneakers,Clothing,StepUp,3,2999,8997,UPI,Delivered
O0003,2026-02-26,2026,2,February,26,Thursday,C015,Karan Joshi,Chandigarh,North,Regular,P004,Smart Watch,Electronics,FitTech,1,3299,3299,Cash on Delivery,Delivered
O0044,2026-02-27,2026,2,February,27,Friday,C016,Hiba Sheikh,Srinagar,North,Premium,P019,Cricket Bat,Sports,BatPro,4,2499,9996,Credit Card,Delivered
O0017,2026-02-27,2026,2,February,27,Friday,C023,Nikhil Sood,Chandigarh,North,Premium,P011,Air Fryer,Home & Kitchen,CookSmart,4,4999,19996,Net Banking,Delivered
O0049,2026-02-27,2026,2,February,27,Friday,C010,Mehak Bhat,Srinagar,North,Premium,P006,Hoodie,Clothing,UrbanWear,3,1599,4797,Cash on Delivery,Delivered
O0035,2026-03-01,2026,3,March,1,Sunday,C003,Rohan Mehta,Mumbai,West,Premium,P007,Jacket,Clothing,NorthStyle,2,2499,4998,Net Banking,Cancelled
O0085,2026-03-01,2026,3,March,1,Sunday,C028,Inaya Khan,Mumbai,West,Regular,P011,Air Fryer,Home & Kitchen,CookSmart,2,4999,9998,Cash on Delivery,Delivered
O0073,2026-03-02,2026,3,March,2,Monday,C029,Sameer Qureshi,Jammu,North,New,P004,Smart Watch,Electronics,FitTech,3,3299,9897,Debit Card,Cancelled
O0057,2026-03-02,2026,3,March,2,Monday,C027,Harsh Vardhan,Noida,North,Premium,P008,Sneakers,Clothing,StepUp,2,2999,5998,Cash on Delivery,Delivered
O0061,2026-03-02,2026,3,March,2,Monday,C020,Priya Menon,Chennai,South,Premium,P002,Mechanical Keyboard,Electronics,KeyPro,2,2499,4998,Credit Card,Delivered
O0103,2026-03-03,2026,3,March,3,Tuesday,C022,Alina Shah,Pune,West,New,P005,Power Bank,Electronics,VoltPlus,1,1199,1199,Debit Card,Delivered
O0004,2026-03-04,2026,3,March,4,Wednesday,C024,Maryam Khan,Hyderabad,South,Regular,P015,Machine Learning Basics,Books,AIPress,3,999,2997,Net Banking,Delivered
O0010,2026-03-05,2026,3,March,5,Thursday,C026,Fatima Noor,Srinagar,North,Regular,P005,Power Bank,Electronics,VoltPlus,2,1199,2398,Debit Card,Shipped
O0030,2026-03-05,2026,3,March,5,Thursday,C017,Dev Patel,Ahmedabad,West,Premium,P010,Electric Kettle,Home & Kitchen,KitchenPro,3,1499,4497,Net Banking,Shipped
O0019,2026-03-05,2026,3,March,5,Thursday,C019,Yusuf Dar,Srinagar,North,New,P017,Yoga Mat,Sports,FitLife,4,899,3596,Net Banking,Delivered
O0059,2026-03-09,2026,3,March,9,Monday,C017,Dev Patel,Ahmedabad,West,Premium,P020,Dumbbell Set,Sports,StrongFit,2,1999,3998,Net Banking,Delivered
O0118,2026-03-09,2026,3,March,9,Monday,C025,Reyansh Jain,Kolkata,East,New,P016,Atomic Habits,Books,MindReads,4,599,2396,Credit Card,Delivered
O0052,2026-03-10,2026,3,March,10,Tuesday,C024,Maryam Khan,Hyderabad,South,Regular,P008,Sneakers,Clothing,StepUp,5,2999,14995,Debit Card,Delivered
O0009,2026-03-13,2026,3,March,13,Friday,C024,Maryam Khan,Hyderabad,South,Regular,P009,Coffee Maker,Home & Kitchen,HomeBrew,2,3499,6998,UPI,Cancelled
O0036,2026-03-14,2026,3,March,14,Saturday,C026,Fatima Noor,Srinagar,North,Regular,P016,Atomic Habits,Books,MindReads,5,599,2995,Debit Card,Shipped
O0065,2026-03-14,2026,3,March,14,Saturday,C024,Maryam Khan,Hyderabad,South,Regular,P020,Dumbbell Set,Sports,StrongFit,2,1999,3998,Cash on Delivery,Delivered
O0089,2026-03-14,2026,3,March,14,Saturday,C015,Karan Joshi,Chandigarh,North,Regular,P008,Sneakers,Clothing,StepUp,4,2999,11996,Credit Card,Shipped
O0111,2026-03-14,2026,3,March,14,Saturday,C001,Aarav Sharma,Srinagar,North,Premium,P001,Wireless Headphones,Electronics,SoundMax,4,1499,5996,Debit Card,Delivered
O0060,2026-03-15,2026,3,March,15,Sunday,C007,Aditya Verma,Pune,West,Regular,P006,Hoodie,Clothing,UrbanWear,1,1599,1599,Debit Card,Cancelled
O0109,2026-03-17,2026,3,March,17,Tuesday,C023,Nikhil Sood,Chandigarh,North,Premium,P019,Cricket Bat,Sports,BatPro,5,2499,12495,Debit Card,Cancelled
O0070,2026-03-18,2026,3,March,18,Wednesday,C011,Vivaan Kapoor,Jaipur,North,New,P004,Smart Watch,Electronics,FitTech,2,3299,6598,Net Banking,Delivered
O0100,2026-03-19,2026,3,March,19,Thursday,C003,Rohan Mehta,Mumbai,West,Premium,P008,Sneakers,Clothing,StepUp,4,2999,11996,Credit Card,Delivered
O0053,2026-03-19,2026,3,March,19,Thursday,C021,Aman Kumar,Delhi,North,Regular,P004,Smart Watch,Electronics,FitTech,3,3299,9897,Credit Card,Cancelled
O0074,2026-03-19,2026,3,March,19,Thursday,C014,Sana Malik,Mumbai,West,New,P013,Python Programming,Books,TechBooks,4,749,2996,Credit Card,Delivered
O0072,2026-03-21,2026,3,March,21,Saturday,C029,Sameer Qureshi,Jammu,North,New,P009,Coffee Maker,Home & Kitchen,HomeBrew,4,3499,13996,Net Banking,Cancelled
O0013,2026-03-22,2026,3,March,22,Sunday,C005,Kabir Ali,Lucknow,North,New,P009,Coffee Maker,Home & Kitchen,HomeBrew,3,3499,10497,Cash on Delivery,Delivered
O0113,2026-03-22,2026,3,March,22,Sunday,C008,Sara Ahmed,Hyderabad,South,Premium,P014,Data Science Handbook,Books,DataPress,1,899,899,UPI,Delivered
O0031,2026-03-24,2026,3,March,24,Tuesday,C013,Rahul Das,Kolkata,East,Regular,P014,Data Science Handbook,Books,DataPress,2,899,1798,Debit Card,Delivered
O0062,2026-03-25,2026,3,March,25,Wednesday,C009,Arjun Nair,Kochi,South,Regular,P014,Data Science Handbook,Books,DataPress,2,899,1798,UPI,Delivered
O0077,2026-03-27,2026,3,March,27,Friday,C006,Ishita Gupta,Bengaluru,South,Premium,P020,Dumbbell Set,Sports,StrongFit,3,1999,5997,Net Banking,Delivered
O0008,2026-03-27,2026,3,March,27,Friday,C020,Priya Menon,Chennai,South,Premium,P005,Power Bank,Electronics,VoltPlus,4,1199,4796,Debit Card,Delivered
O0087,2026-03-28,2026,3,March,28,Saturday,C006,Ishita Gupta,Bengaluru,South,Premium,P004,Smart Watch,Electronics,FitTech,5,3299,16495,Cash on Delivery,Cancelled
O0005,2026-03-29,2026,3,March,29,Sunday,C025,Reyansh Jain,Kolkata,East,New,P009,Coffee Maker,Home & Kitchen,HomeBrew,5,3499,17495,Credit Card,Delivered
O0080,2026-03-29,2026,3,March,29,Sunday,C026,Fatima Noor,Srinagar,North,Regular,P019,Cricket Bat,Sports,BatPro,5,2499,12495,Debit Card,Delivered
O0037,2026-03-30,2026,3,March,30,Monday,C028,Inaya Khan,Mumbai,West,Regular,P005,Power Bank,Electronics,VoltPlus,1,1199,1199,Credit Card,Delivered
